0002,,"0, 0",1
0005,,"-1, 0",1
0009,,"-2, 0",1
0027,,"-3, 0",1
0029,,"1, 0",1
0032,,"2, 0",1
0039,,"3, 0",1
0047,,"0, 1",1
0057,,"0, 2",1
0063,,"0, 3",1
0068,,"0, -1",1
0079,,"0, -2",1
0088,,"0, -3",1
0099,,"0, -4",1
0112,,"0, -5",1
